Transaction_ID,Date,Time,Sender_Name,Receiver_Name,Mobile_Number,UPI_ID,Bank_Name,Transaction_Type,Amount,Status,Payment_Method,State,City,Device_Type
PP100035,2026-07-01 00:00:00,15:51:31,Customer_36,Merchant_33,9294790423,user36@ybl,Kotak,Merchant Payment,21052,Success,QR Code,Madhya Pradesh,Mumbai,Android
PP100036,2026-07-01 00:00:00,06:05:49,Customer_37,Merchant_77,9182198650,user37@ybl,HDFC,Merchant Payment,21343,Success,Phone Number,Rajasthan,Aurangabad,iOS
PP100037,2026-07-01 00:00:00,19:28:00,Customer_38,Merchant_26,9420311277,user38@ybl,HDFC,Bill Payment,8870,Success,QR Code,Rajasthan,Mumbai,iOS
PP100038,2026-07-01 00:00:00,10:29:04,Customer_39,Merchant_22,9658307662,user39@ybl,HDFC,Food Payment,24428,Success,UPI,Karnataka,Pune,Android
PP100039,2026-07-01 00:00:00,12:39:03,Customer_40,Merchant_66,9398542844,user40@ybl,PNB,Merchant Payment,24261,Success,Phone Number,Maharashtra,Nagpur,Android
PP100040,2026-07-01 00:00:00,10:03:07,Customer_41,Merchant_38,9330682120,user41@ybl,HDFC,Food Payment,15192,Success,QR Code,Gujarat,Nagpur,iOS
PP100041,2026-07-01 00:00:00,02:00:39,Customer_42,Merchant_90,9561753472,user42@ybl,HDFC,Food Payment,17422,Success,QR Code,Gujarat,Pune,Android
PP100042,2026-07-01 00:00:00,04:01:29,Customer_43,Merchant_46,9230877956,user43@ybl,PNB,Bill Payment,18357,Success,UPI,Karnataka,Nashik,Android
PP100043,2026-07-02 00:00:00,16:06:57,Customer_44,Merchant_15,9582229283,user44@ybl,SBI,Bill Payment,3677,Success,QR Code,Karnataka,Nagpur,Android
PP100044,2026-07-02 00:00:00,17:11:17,Customer_45,Merchant_98,9686823754,user45@ybl,Axis,Food Payment,21250,Success,Phone Number,Gujarat,Nashik,Android
PP100045,2026-07-02 00:00:00,11:58:45,Customer_46,Merchant_44,9370807384,user46@ybl,ICICI,Food Payment,18700,Success,QR Code,Gujarat,Mumbai,iOS
PP100046,2026-07-02 00:00:00,13:52:02,Customer_47,Merchant_49,9288337185,user47@ybl,SBI,Food Payment,17178,Success,QR Code,Maharashtra,Nagpur,iOS
PP100047,2026-07-02 00:00:00,08:54:09,Customer_48,Merchant_75,9876021444,user48@ybl,BOB,Food Payment,19215,Success,QR Code,Rajasthan,Kolhapur,iOS
PP100048,2026-07-02 00:00:00,10:18:51,Customer_49,Merchant_61,9342048832,user49@ybl,Axis,Food Payment,9592,Success,Phone Number,Maharashtra,Pune,iOS
PP100049,2026-07-02 00:00:00,11:55:44,Customer_50,Merchant_67,9017076758,user50@ybl,Canara,Merchant Payment,3202,Success,UPI,Gujarat,Nashik,Android
PP100050,2026-07-02 00:00:00,20:32:43,Customer_51,Merchant_6,9293574253,user51@ybl,PNB,Food Payment,12999,Pending,QR Code,Rajasthan,Kolhapur,Android
PP100051,2026-07-02 00:00:00,06:44:45,Customer_52,Merchant_9,9823663525,user52@ybl,PNB,Food Payment,7887,Success,Phone Number,Gujarat,Mumbai,Android
PP100052,2026-07-02 00:00:00,10:27:06,Customer_53,Merchant_6,9171680765,user53@ybl,HDFC,Food Payment,15175,Success,UPI,Maharashtra,Mumbai,Android
PP100053,2026-07-02 00:00:00,11:53:28,Customer_54,Merchant_73,9558105972,user54@ybl,HDFC,Bill Payment,13026,Success,Phone Number,Maharashtra,Nagpur,Android
PP100054,2026-07-02 00:00:00,14:57:51,Customer_55,Merchant_95,9908027237,user55@ybl,BOB,Food Payment,4349,Success,QR Code,Maharashtra,Nagpur,Android
PP100055,2026-07-02 00:00:00,05:19:58,Customer_56,Merchant_32,9050073096,user56@ybl,Canara,Food Payment,22571,Success,Phone Number,Rajasthan,Kolhapur,iOS
PP100056,2026-07-02 00:00:00,05:29:18,Customer_57,Merchant_41,9440958874,user57@ybl,HDFC,Food Payment,3117,Success,QR Code,Madhya Pradesh,Aurangabad,Android
PP100057,2026-07-02 00:00:00,04:14:14,Customer_58,Merchant_76,9080742668,user58@ybl,Kotak,Bill Payment,1424,Pending,UPI,Madhya Pradesh,Aurangabad,Android
PP100058,2026-07-02 00:00:00,12:17:18,Customer_59,Merchant_8,9620727740,user59@ybl,HDFC,Merchant Payment,5121,Failed,Phone Number,Gujarat,Nagpur,Android
PP100059,2026-07-02 00:00:00,00:20:52,Customer_60,Merchant_72,9969478660,user60@ybl,HDFC,Bill Payment,1389,Success,UPI,Rajasthan,Aurangabad,Android
PP100060,2026-07-02 00:00:00,11:02:44,Customer_61,Merchant_50,9311130314,user61@ybl,Kotak,Merchant Payment,21901,Success,QR Code,Karnataka,Pune,Android
PP100061,2026-07-02 00:00:00,21:35:09,Customer_62,Merchant_92,9273009286,user62@ybl,Canara,Bill Payment,6685,Success,UPI,Madhya Pradesh,Kolhapur,iOS
PP100062,2026-07-02 00:00:00,10:24:01,Customer_63,Merchant_62,9189129125,user63@ybl,Kotak,Merchant Payment,18468,Success,UPI,Rajasthan,Pune,Android
PP100063,2026-07-02 00:00:00,14:54:42,Customer_64,Merchant_84,9886235415,user64@ybl,PNB,Food Payment,2785,Failed,Phone Number,Rajasthan,Aurangabad,Android
PP100064,2026-07-02 00:00:00,16:31:34,Customer_65,Merchant_62,9271082069,user65@ybl,Kotak,Food Payment,19221,Success,QR Code,Madhya Pradesh,Nagpur,Android
PP100065,2026-07-02 00:00:00,22:35:17,Customer_66,Merchant_7,9440867854,user66@ybl,ICICI,Bill Payment,24195,Success,Phone Number,Rajasthan,Pune,Android
PP100066,2026-07-02 00:00:00,18:06:55,Customer_67,Merchant_75,9513268459,user67@ybl,PNB,Bill Payment,736,Success,UPI,Rajasthan,Mumbai,iOS
PP100067,2026-07-02 00:00:00,21:49:47,Customer_68,Merchant_84,9122867985,user68@ybl,HDFC,Bill Payment,13870,Success,QR Code,Madhya Pradesh,Nagpur,iOS
PP100068,2026-07-02 00:00:00,01:55:49,Customer_69,Merchant_80,9307617463,user69@ybl,BOB,Bill Payment,20444,Failed,UPI,Maharashtra,Kolhapur,iOS
PP100069,2026-07-03 00:00:00,15:23:13,Customer_70,Merchant_4,9470032912,user70@ybl,PNB,Food Payment,1731,Success,Phone Number,Gujarat,Nashik,Android
PP100070,2026-07-03 00:00:00,20:25:53,Customer_71,Merchant_6,9005471375,user71@ybl,Canara,Bill Payment,21771,Success,Phone Number,Karnataka,Nashik,Android
PP100071,2026-07-03 00:00:00,01:55:41,Customer_72,Merchant_58,9030147723,user72@ybl,Canara,Merchant Payment,6281,Success,UPI,Gujarat,Nagpur,Android
PP100072,2026-07-03 00:00:00,07:12:14,Customer_73,Merchant_22,9959215494,user73@ybl,Kotak,Bill Payment,16412,Success,Phone Number,Maharashtra,Aurangabad,Android
PP100073,2026-07-03 00:00:00,06:29:46,Customer_74,Merchant_26,9949426531,user74@ybl,PNB,Merchant Payment,20522,Success,UPI,Maharashtra,Pune,iOS
PP100074,2026-07-03 00:00:00,17:11:26,Customer_75,Merchant_3,9803053448,user75@ybl,HDFC,Food Payment,6106,Success,QR Code,Rajasthan,Pune,Android
PP100075,2026-07-03 00:00:00,21:02:25,Customer_76,Merchant_41,9015462291,user76@ybl,Canara,Bill Payment,22787,Success,Phone Number,Gujarat,Nagpur,iOS
PP100076,2026-07-03 00:00:00,23:07:31,Customer_77,Merchant_60,9290446320,user77@ybl,Axis,Food Payment,14382,Success,Phone Number,Maharashtra,Mumbai,Android
PP100077,2026-07-03 00:00:00,14:50:13,Customer_78,Merchant_14,9721320217,user78@ybl,HDFC,Bill Payment,11243,Success,Phone Number,Gujarat,Kolhapur,Android
PP100078,2026-07-03 00:00:00,15:46:40,Customer_79,Merchant_75,9587924647,user79@ybl,Axis,Bill Payment,16240,Success,QR Code,Maharashtra,Aurangabad,Android
PP100079,2026-07-03 00:00:00,11:45:18,Customer_80,Merchant_82,9404352415,user80@ybl,ICICI,Food Payment,13412,Success,UPI,Karnataka,Mumbai,Android
PP100080,2026-07-03 00:00:00,19:29:33,Customer_81,Merchant_12,9545640738,user81@ybl,Axis,Merchant Payment,20071,Success,UPI,Maharashtra,Nagpur,Android
PP100081,2026-07-03 00:00:00,19:33:10,Customer_82,Merchant_87,9950229356,user82@ybl,SBI,Merchant Payment,2266,Success,QR Code,Gujarat,Nagpur,Android
PP100082,2026-07-03 00:00:00,14:32:09,Customer_83,Merchant_12,9935076821,user83@ybl,Canara,Food Payment,20030,Success,Phone Number,Rajasthan,Mumbai,Android
PP100083,2026-07-03 00:00:00,11:58:08,Customer_84,Merchant_13,9024123628,user84@ybl,Kotak,Merchant Payment,2842,Success,UPI,Gujarat,Nashik,Android
PP100084,2026-07-03 00:00:00,11:03:31,Customer_85,Merchant_25,9730000725,user85@ybl,ICICI,Merchant Payment,24687,Success,QR Code,Madhya Pradesh,Nagpur,Android
PP100085,2026-07-03 00:00:00,15:24:39,Customer_86,Merchant_45,9246155259,user86@ybl,PNB,Merchant Payment,17254,Success,UPI,Gujarat,Kolhapur,Android
PP100086,2026-07-03 00:00:00,23:43:12,Customer_87,Merchant_19,9941872782,user87@ybl,HDFC,Food Payment,17511,Success,QR Code,Karnataka,Aurangabad,Android
PP100087,2026-07-03 00:00:00,05:32:43,Customer_88,Merchant_55,9217907662,user88@ybl,Canara,Bill Payment,16703,Success,Phone Number,Karnataka,Mumbai,Android
PP100088,2026-07-03 00:00:00,15:18:43,Customer_89,Merchant_100,9038404774,user89@ybl,ICICI,Bill Payment,24506,Success,QR Code,Karnataka,Nashik,Android
PP100089,2026-07-03 00:00:00,20:24:37,Customer_90,Merchant_45,9803217681,user90@ybl,ICICI,Food Payment,9689,Pending,Phone Number,Maharashtra,Mumbai,Android
PP100090,2026-07-03 00:00:00,03:59:48,Customer_91,Merchant_8,9352721251,user91@ybl,SBI,Food Payment,21804,Failed,UPI,Karnataka,Nashik,Android
PP100091,2026-07-03 00:00:00,01:32:49,Customer_92,Merchant_93,9706195119,user92@ybl,Canara,Bill Payment,1102,Success,Phone Number,Gujarat,Nashik,Android
PP100092,2026-07-03 00:00:00,19:23:56,Customer_93,Merchant_53,9716276765,user93@ybl,PNB,Food Payment,11168,Success,UPI,Rajasthan,Kolhapur,Android
PP100093,2026-07-03 00:00:00,10:09:46,Customer_94,Merchant_55,9646008442,user94@ybl,PNB,Bill Payment,8187,Success,UPI,Karnataka,Aurangabad,Android
PP100094,2026-07-03 00:00:00,03:20:15,Customer_95,Merchant_32,9428850669,user95@ybl,Kotak,Merchant Payment,9577,Success,QR Code,Gujarat,Nagpur,Android
PP100095,2026-07-03 00:00:00,12:30:02,Customer_96,Merchant_51,9937533113,user96@ybl,BOB,Bill Payment,19204,Success,Phone Number,Maharashtra,Nashik,iOS
PP100096,2026-07-03 00:00:00,01:44:14,Customer_97,Merchant_44,9475367161,user97@ybl,Axis,Food Payment,11748,Success,UPI,Maharashtra,Nagpur,Android
PP100097,2026-07-03 00:00:00,04:45:44,Customer_98,Merchant_82,9171808099,user98@ybl,PNB,Merchant Payment,3971,Success,UPI,Rajasthan,Aurangabad,Android
PP100098,2026-07-03 00:00:00,06:43:34,Customer_99,Merchant_70,9155067178,user99@ybl,SBI,Bill Payment,14697,Success,QR Code,Rajasthan,Nagpur,iOS
PP100099,2026-07-03 00:00:00,22:25:19,Customer_100,Merchant_18,9548802813,user100@ybl,Kotak,Food Payment,15989,Success,UPI,Gujarat,Kolhapur,Android
PP100100,2026-07-03 00:00:00,19:56:14,Customer_101,Merchant_83,9312205724,user101@ybl,Axis,Merchant Payment,8987,Success,Phone Number,Rajasthan,Kolhapur,Android
PP100101,2026-07-03 00:00:00,01:41:30,Customer_102,Merchant_22,9096908769,user102@ybl,ICICI,Bill Payment,6788,Failed,Phone Number,Rajasthan,Pune,Android
PP100102,2026-07-03 00:00:00,03:13:57,Customer_103,Merchant_37,9644407038,user103@ybl,Canara,Bill Payment,17856,Success,UPI,Maharashtra,Kolhapur,Android
PP100103,2026-07-03 00:00:00,06:13:35,Customer_104,Merchant_96,9843224904,user104@ybl,PNB,Bill Payment,18085,Success,QR Code,Gujarat,Nashik,Android
PP100104,2026-07-03 00:00:00,06:41:11,Customer_105,Merchant_56,9568212868,user105@ybl,Kotak,Food Payment,14059,Success,Phone Number,Rajasthan,Aurangabad,Android
PP100105,2026-07-03 00:00:00,16:10:43,Customer_106,Merchant_59,9143188557,user106@ybl,ICICI,Food Payment,2323,Success,QR Code,Gujarat,Kolhapur,Android
PP100106,2026-07-03 00:00:00,11:27:20,Customer_107,Merchant_3,9503618776,user107@ybl,PNB,Bill Payment,15183,Success,QR Code,Karnataka,Mumbai,Android
PP100107,2026-07-03 00:00:00,23:16:47,Customer_108,Merchant_28,9312547550,user108@ybl,HDFC,Food Payment,7177,Success,UPI,Maharashtra,Aurangabad,Android
PP100108,2026-07-03 00:00:00,09:17:14,Customer_109,Merchant_74,9342805594,user109@ybl,BOB,Bill Payment,18255,Success,QR Code,Maharashtra,Nashik,Android
PP100109,2026-07-03 00:00:00,19:22:04,Customer_110,Merchant_35,9494571503,user110@ybl,ICICI,Merchant Payment,18301,Success,UPI,Maharashtra,Aurangabad,Android
PP100110,2026-07-04 00:00:00,21:01:37,Customer_111,Merchant_61,9928250537,user111@ybl,SBI,Bill Payment,16149,Success,Phone Number,Madhya Pradesh,Kolhapur,iOS
PP100111,2026-07-04 00:00:00,07:58:52,Customer_112,Merchant_93,9839950360,user112@ybl,SBI,Merchant Payment,22229,Pending,QR Code,Gujarat,Mumbai,iOS
PP100112,2026-07-04 00:00:00,03:08:34,Customer_113,Merchant_54,9795498145,user113@ybl,PNB,Food Payment,9539,Success,UPI,Karnataka,Pune,Android
PP100113,2026-07-04 00:00:00,06:39:14,Customer_114,Merchant_63,9648069638,user114@ybl,SBI,Merchant Payment,264,Failed,Phone Number,Rajasthan,Nashik,iOS
PP100114,2026-07-04 00:00:00,15:51:48,Customer_115,Merchant_79,9436328706,user115@ybl,ICICI,Food Payment,8968,Failed,UPI,Karnataka,Nashik,Android
PP100115,2026-07-04 00:00:00,10:11:08,Customer_116,Merchant_97,9877537281,user116@ybl,Canara,Food Payment,9035,Success,QR Code,Gujarat,Aurangabad,Android
PP100116,2026-07-04 00:00:00,06:24:21,Customer_117,Merchant_7,9169397864,user117@ybl,Canara,Food Payment,11039,Success,QR Code,Maharashtra,Nagpur,iOS
PP100117,2026-07-04 00:00:00,22:00:52,Customer_118,Merchant_76,9731580969,user118@ybl,BOB,Merchant Payment,20211,Success,UPI,Madhya Pradesh,Nagpur,Android
PP100118,2026-07-04 00:00:00,11:02:29,Customer_119,Merchant_49,9898924773,user119@ybl,Canara,Food Payment,2799,Failed,Phone Number,Gujarat,Mumbai,Android
PP100119,2026-07-04 00:00:00,04:41:47,Customer_120,Merchant_94,9003575881,user120@ybl,Axis,Food Payment,18250,Success,Phone Number,Gujarat,Pune,Android
PP100120,2026-07-04 00:00:00,05:12:57,Customer_121,Merchant_85,9901433875,user121@ybl,HDFC,Food Payment,13743,Success,UPI,Rajasthan,Pune,Android
PP100121,2026-07-04 00:00:00,14:22:25,Customer_122,Merchant_31,9015194455,user122@ybl,Canara,Merchant Payment,23425,Success,Phone Number,Karnataka,Aurangabad,iOS
PP100122,2026-07-04 00:00:00,22:43:38,Customer_123,Merchant_58,9519257001,user123@ybl,SBI,Food Payment,12823,Success,QR Code,Karnataka,Aurangabad,Android
PP100123,2026-07-04 00:00:00,06:33:44,Customer_124,Merchant_61,9583279848,user124@ybl,HDFC,Food Payment,16877,Success,Phone Number,Rajasthan,Nagpur,Android
PP100124,2026-07-04 00:00:00,06:28:41,Customer_125,Merchant_24,9126655195,user125@ybl,Canara,Merchant Payment,20535,Success,UPI,Madhya Pradesh,Kolhapur,Android
PP100125,2026-07-04 00:00:00,02:54:48,Customer_126,Merchant_20,9321041167,user126@ybl,Axis,Food Payment,13718,Success,QR Code,Maharashtra,Pune,iOS
PP100126,2026-07-04 00:00:00,06:16:14,Customer_127,Merchant_37,9973060371,user127@ybl,SBI,Merchant Payment,1812,Success,QR Code,Maharashtra,Kolhapur,Android
PP100127,2026-07-04 00:00:00,01:27:20,Customer_128,Merchant_4,9558493494,user128@ybl,ICICI,Merchant Payment,15396,Success,QR Code,Madhya Pradesh,Pune,Android
PP100128,2026-07-04 00:00:00,12:00:21,Customer_129,Merchant_92,9797167548,user129@ybl,PNB,Food Payment,18138,Success,QR Code,Rajasthan,Kolhapur,Android
PP100129,2026-07-04 00:00:00,02:54:38,Customer_130,Merchant_20,9293857612,user130@ybl,PNB,Food Payment,13137,Success,UPI,Gujarat,Kolhapur,Android
PP100130,2026-07-04 00:00:00,15:27:25,Customer_131,Merchant_60,9086023342,user131@ybl,Canara,Merchant Payment,7235,Success,Phone Number,Karnataka,Pune,Android
PP100131,2026-07-04 00:00:00,05:21:02,Customer_132,Merchant_24,9206901334,user132@ybl,PNB,Food Payment,23633,Success,QR Code,Gujarat,Mumbai,Android
PP100132,2026-07-04 00:00:00,14:39:56,Customer_133,Merchant_50,9130109933,user133@ybl,Canara,Merchant Payment,5208,Pending,Phone Number,Karnataka,Mumbai,Android
PP100133,2026-07-04 00:00:00,01:13:52,Customer_134,Merchant_49,9698849005,user134@ybl,Canara,Bill Payment,16038,Success,UPI,Gujarat,Aurangabad,Android
PP100134,2026-07-04 00:00:00,17:51:31,Customer_135,Merchant_51,9178347242,user135@ybl,SBI,Bill Payment,14721,Success,Phone Number,Rajasthan,Kolhapur,Android
PP100135,2026-07-04 00:00:00,21:58:24,Customer_136,Merchant_96,9922666974,user136@ybl,BOB,Bill Payment,5301,Success,Phone Number,Rajasthan,Kolhapur,Android
PP100136,2026-07-04 00:00:00,16:29:59,Customer_137,Merchant_36,9436931378,user137@ybl,Kotak,Food Payment,22262,Success,Phone Number,Madhya Pradesh,Kolhapur,Android
PP100137,2026-07-04 00:00:00,22:08:34,Customer_138,Merchant_98,9268392402,user138@ybl,Kotak,Merchant Payment,964,Success,Phone Number,Gujarat,Kolhapur,Android
PP100138,2026-07-04 00:00:00,14:00:28,Customer_139,Merchant_100,9773177932,user139@ybl,BOB,Bill Payment,1531,Success,Phone Number,Gujarat,Kolhapur,Android
PP100139,2026-07-04 00:00:00,00:05:02,Customer_140,Merchant_66,9180647364,user140@ybl,Kotak,Merchant Payment,20485,Success,QR Code,Madhya Pradesh,Nagpur,Android
PP100140,2026-07-05 00:00:00,22:55:58,Customer_141,Merchant_79,9488855489,user141@ybl,HDFC,Food Payment,12738,Success,QR Code,Madhya Pradesh,Nashik,Android
PP100141,2026-07-05 00:00:00,00:00:55,Customer_142,Merchant_34,9766543225,user142@ybl,Kotak,Merchant Payment,22522,Success,UPI,Rajasthan,Kolhapur,Android
PP100142,2026-07-05 00:00:00,02:25:17,Customer_143,Merchant_36,9352384691,user143@ybl,Canara,Food Payment,17262,Success,QR Code,Rajasthan,Nagpur,Android
PP100143,2026-07-05 00:00:00,07:58:19,Customer_144,Merchant_6,9482853675,user144@ybl,Axis,Merchant Payment,19964,Success,UPI,Gujarat,Mumbai,iOS
PP100144,2026-07-05 00:00:00,20:28:06,Customer_145,Merchant_39,9454706991,user145@ybl,Axis,Bill Payment,24825,Success,Phone Number,Rajasthan,Kolhapur,Android
PP100145,2026-07-05 00:00:00,18:47:41,Customer_146,Merchant_42,9809580338,user146@ybl,ICICI,Merchant Payment,8389,Success,QR Code,Rajasthan,Mumbai,Android
PP100146,2026-07-05 00:00:00,12:17:27,Customer_147,Merchant_58,9445008230,user147@ybl,SBI,Bill Payment,12140,Success,QR Code,Gujarat,Aurangabad,iOS
PP100147,2026-07-05 00:00:00,04:39:08,Customer_148,Merchant_12,9871765069,user148@ybl,Kotak,Food Payment,13741,Success,UPI,Madhya Pradesh,Nashik,Android
PP100148,2026-07-05 00:00:00,01:17:01,Customer_149,Merchant_3,9680188553,user149@ybl,Axis,Merchant Payment,2635,Success,Phone Number,Gujarat,Pune,Android
PP100149,2026-07-05 00:00:00,04:10:34,Customer_150,Merchant_18,9342006002,user150@ybl,Kotak,Bill Payment,18017,Success,UPI,Maharashtra,Nashik,Android
PP100150,2026-07-05 00:00:00,01:25:26,Customer_151,Merchant_40,9933102327,user151@ybl,SBI,Bill Payment,15649,Success,UPI,Gujarat,Kolhapur,Android
PP100151,2026-07-05 00:00:00,01:25:22,Customer_152,Merchant_21,9901637258,user152@ybl,ICICI,Merchant Payment,2860,Success,UPI,Maharashtra,Kolhapur,iOS
PP100152,2026-07-05 00:00:00,05:00:30,Customer_153,Merchant_15,9007240457,user153@ybl,Axis,Food Payment,14071,Success,Phone Number,Gujarat,Nashik,Android
PP100153,2026-07-05 00:00:00,23:00:38,Customer_154,Merchant_97,9229833617,user154@ybl,Canara,Food Payment,1794,Success,Phone Number,Maharashtra,Nashik,Android
PP100154,2026-07-05 00:00:00,23:31:57,Customer_155,Merchant_99,9528476762,user155@ybl,HDFC,Bill Payment,13282,Success,QR Code,Maharashtra,Aurangabad,iOS
PP100155,2026-07-05 00:00:00,15:27:38,Customer_156,Merchant_26,9162213700,user156@ybl,BOB,Bill Payment,3891,Success,Phone Number,Gujarat,Mumbai,iOS
PP100156,2026-07-05 00:00:00,10:43:58,Customer_157,Merchant_8,9440504845,user157@ybl,BOB,Food Payment,8293,Success,UPI,Rajasthan,Pune,Android
